Jaar,Maand,Dag,DagNaam,Uur,Minuut,Type,Persoon,Psalmen
2022,November,13,Sunday,10,00,Ochtenddienst,Ds. Lugthart,"In deze dienst is er een kerkboekje voor de kinderen.
Vz: Psalm 25 vers 2
Psalm 105 vers 1 en 2
Psalm 119 vers 5
Schriftlezing: Johannes 1 vers 35 t/m 52
Psalm 66 vers 8 en 10
Preek: “De vraag van Jezus”.
Psalm 40 vers 5
Collectes:
Psalm 108 vers 1 en 2"
2022,November,6,Sunday,18,30,Avonddienst ( Themadienst ),Ds. Lugthart,"Thema: “Bewijs het maar eens”.
Liturgie volgens het boekje."
2022,November,6,Sunday,10,00,Ochtenddienst,Ds. Langeweg uit Haaften,"Vz: Psalm 25 vers 6
Psalm 71 vers 10
Psalm 38 vers 22
Schriftlezing: Genesis 18 vers 1 t/m 15 en Hebreeën 11 vers 11 t/m 16
Psalm 25 vers 8 en 9
Preek: Genesis 18 vers 12
Psalm 31 vers 17 en 19
Collectes:
Psalm 42 vers 5 en 7"
2022,November,2,Wednesday,19,30,Dankdag,Dhr. van Eckeveld uit Woerden,"Vz: Psalm 117 vers 1
Psalm 65 vers 1 en 2
Psalm 65 ers 8 en 9
Schriftlezing: Jesaja 25
Psalm 48 vers 1 en 6
Preek: “Een danklied in crisistijd”.
Psalm 68 vers 8 en 10
Collectes:
Psalm 66 vers 6 en 10"
2022,November,2,Wednesday,14,30,Dankdag,Ds. Lugthart,"Vz: Psalm 116 vers 1 en 11
Psalm 100 vers 1 en 4
Psalm 86 vers 6
Schriftlezing: 1 Koningen 17 vers 1 t/m 16
Op toon hoogte lied 483 “Dank u wel”.
Preek: “Wie dank jij”.
Psalm 33 vers 10
Collectes:
Psalm 75 vers 1"
2022,October,30,Sunday,18,30,Avonddienst,Ds. Herwig uit Nunspeet,"Vz: Psalm 115 vers 1 en 6
Psalm 95 vers 1 en 2
Psalm 95 vers 3
Schriftlezing: Amos 5 vers 1 t/m 15
Psalm 86 vers 3 en 6
Preek: ""Gods misschien "".
Psalm 94 vers 8
Collectes:
Psalm 105 vers 5 en 6"
2022,October,30,Sunday,10,00,Ochtenddienst,Ds. van der Wind uit Bruchem - Kerkwijk,"Vz: Psalm 114 vers 1
Psalm 95 vers 5 en 6
Psalm 6 vers 2
Schriftlezing: Jesaja 66 vers 1 t/m 6 en Mattheüs 10 vers 24 t/m 33
Psalm 31 vers 11 en 12 en 15
Preek
Psalm 119 vers 19 en 20
Collectes
Psalm 85 vers 3"
2022,October,23,Sunday,18,30,Avonddienst,Ds. Teeuw uit Voorthuizen,"Vz: Psalm 113 vers 1
Psalm 65 vers 1 en 3
Psalm 65 vers 2
Schriftlezing: Jesaja 55 vers 1 t/m 13
Psalm 85 vers 1 en 4
Preek: ""God op de markt "".
Psalm 36 vers 2
Collectes:
Psalm 150 vers 1 en 3"
2022,October,23,Sunday,10,00,Ochtenddienst,Ds. van Duijvenboden uit Apeldoorn,"Vz: Psalm 136 vers 26
Psalm 92 vers 1 en 2
Psalm 6 vers 2 en 9
Schriftlezing: 1 Thess. 2 vers 1 t/m 13
Psalm 119 vers 47 en 53
Psalm 56 vers 5
Collectes:
Psalm 147 vers 1 en 10"
2022,October,16,Sunday,18,30,Avonddienst,Ds. Lugthart,"Vz: Psalm 112 vers 1
Psalm 95 vers 2 en 3
Psalm 95 vers 4
Schriftlezing: Mattheüs 6 vers 19 t/m 34 en Romeinen 5 vers 1 t/m 5
Psalm 104 vers 7 en 14
Zondag 10 H.C.
Preek: ""Gods vaderlijke hand "".
Psalm 91 vers 1 en 3 en 8
Collectes:
Psalm 145 vers 2 en 5"
2022,October,16,Sunday,10,00,Ochtenddienst,Prop. van Sligtenhorst uit Vinkeveen,"Vz: Psalm 136 vers 1 en 3
Psalm 93 vers 1 en 4
Psalm 100 vers 3 en 4
Schriftlezing: Openbaring 3 vers 7 t/m 13 en Jesaja 22 vers 15 t/m 25
Psalm 119 vers 53 en 65
Preek
Psalm 87 vers 1 en 4
Collectes:
Psalm 118 vers 10"
2022,October,9,Sunday,18,30,Avonddienst,Ds. van Campen uit Ede,Onbekend
2022,October,9,Sunday,10,00,Ochtenddienst,Ds. Lugthart,Onbekend
2022,October,2,Sunday,18,30,Avonddienst,Ds. Baas uit Bodegraven,"Vz: Psalm 110 vers1 en 5
Psalm 89 vers 7
Psalm 122 vers 2
Schriftlezing: Genesis 22 vers 1 t/m 19
Psalm Psalm 136 vers 1
Schriftlezing: Openbaring 11
Zingen Psalm 124 vers 1 en 3
Preek
Psalm 69 vers 19
Collectes
Psalm 72 vers 6 en 10 en 11"
2022,October,2,Sunday,10,00,Ochtenddienst,Prop. de Vries uit Papandrecht,"Vz: Psalm 75 vers 1 en 6
Psalm 21 vers 2 en 3
Psalm 103 4 en 5
Schriftlezing: Numeri 14 vers 1 t/m 25
Psalm 106 vers 14 en 15
Preek
Psalm 105 vers 3 en 23
Collectes
Psalm 105 vers 24"
2022,September,25,Sunday,18,30,Avonddienst Dankzegging Heilig Avondmaal,Ds. Lugthart,"Vz: Psalm 109 vers 18
Psalm 110 vers 1 en 3 en 4
Psalm 17 vers 3
Schriftlezing: Genesis 14 vers 17 t/m 15 vers 6
Psalm 71 vers 3 en 10
Preek: “Leven na ontvangen zegen”.
Psalm 34 vers 4 en 5
Collectes:
Psalm 111 vers 2 en 3"
2022,September,25,Sunday,9,30,Ochtenddienst Heilig Avondmaal,Ds. Lugthart,"Psalm 100 vers 4
Psalm 42 vers 5
Psalm 42 vers 7
Schriftlezing: Genesis 14 vers 14 t/m 20 en Hebreeën 5 vers 5 vers 1 t/m 10 en 7 vers 1 t/m 4
Psalm 76 vers 1 en 2
Preek: “De hemel geopend”.
Psalm 22 vers 12 en 13
Lezing 2de gedeelte Avondmaalsformulier
Psalm 134 vers 2 en 3
Bediening Heilig Avondmaal
Collectes:
Psalm 31 vers 17"
2022,September,22,Thursday,15,00,Huwelijksdienst Ris en Renate,Ds. Lugthart,Onbekend
2022,September,18,Sunday,18,30,Avonddienst,Ds. Goedvree uit Hoevelaken,"Vz: Psalm 108 vers 1
Psalm 19 vers 1 en 4
Psalm 25 vers 7
Schriftlezing: 1 Korinthe 1 vers 18 t/m 31
Collectes:
Psalm 123 vers 1 en 2
Preek: “Het evangelie is zo anders…”.
Psalm 96 vers 6 en 9
Psalm 138 vers 3"
